"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Administrator\Documents\vertexai\Controller\exemplovalido.js", "JavaScript", -91, -7, -21, -119
"c:\Users\Administrator\Documents\vertexai\Controller\helloWord.js", "JavaScript", -4, 0, -1, -5
"c:\Users\Administrator\Documents\vertexai\Controller\webhookControllerReceived.js", "JavaScript", -57, -1, -16, -74
"c:\Users\Administrator\Documents\vertexai\Controller\webhookControllerSent.js", "JavaScript", -30, -3, -8, -41
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadorDeAbordagem\ServicesOpenAiAbordagem\openAiServicesAbordagem.js", "JavaScript", 70, 3, 9, 82
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadorDeAbordagem\rotinaDeAbordagem.js", "JavaScript", 24, 0, 7, 31
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadorDeAbordagem\rotinaDeAtedimentoInicial.js", "JavaScript", 7, 0, 5, 12
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadorDeAbordagem\rotinaDeRedirecionamentoDeAbordagem.js", "JavaScript", 7, 0, 4, 11
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadorDeAbordagem\rotinaDeReinicioAtendimento.js", "JavaScript", 8, 2, 5, 15
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadorDeFechamento\RotinaDeEntrega\agenteDeEntrega.js", "JavaScript", 92, 3, 11, 106
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadorDeFechamento\RotinaDeEntrega\rotinaDeEntrega.js", "JavaScript", 7, 0, 3, 10
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadorDeFechamento\RotinaDePagamento\agenteCartao.js", "JavaScript", 46, 3, 10, 59
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadorDeFechamento\RotinaDePagamento\agenteDePagemento.js", "JavaScript", 86, 2, 16, 104
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadorDeFechamento\RotinaDePagamento\agenteExplicacaoBoleto.js", "JavaScript", 73, 3, 15, 91
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadorDeFechamento\RotinaDePagamento\agentePix.js", "JavaScript", 47, 1, 10, 58
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadorDeFechamento\RotinaDePagamento\explicacaoBoleto.js", "JavaScript", 24, 1, 6, 31
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadorDeFechamento\ServicesOpeanAiFechamento\openAiServicesFechamento.js", "JavaScript", 124, 6, 19, 149
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadorDeFechamento\rotinaDeFechamento.js", "JavaScript", 14, 0, 5, 19
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadorDeSondagem\ServicesOpenAiSondagem\openAiServicesFechamentoDeSondagem.js", "JavaScript", 157, 5, 26, 188
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadorDeSondagem\ServicesOpenAiSondagem\openAiServicesFechamentoDeSondagemAcessorios.js", "JavaScript", 109, 0, 14, 123
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadorDeSondagem\ServicesOpenAiSondagem\openAiServicesSondagem.js", "JavaScript", 101, 14, 28, 143
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadorDeSondagem\rotinaDeSondagemAcessorios.js", "JavaScript", 171, 0, 31, 202
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadorDeSondagem\rotinaDeSondagemDeCelular.js", "JavaScript", 170, 1, 30, 201
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadorDeSuporte\compactadorDeSuporte.js", "JavaScript", 10, 0, 2, 12
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadorDeSuporte\rotinaDeSuporte.js", "JavaScript", 9, 0, 2, 11
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadordeBoleto\ServicesOpenAiBoleto\openAiAgenteDuvidasBoleto.js", "JavaScript", 60, 2, 13, 75
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadordeBoleto\ServicesOpenAiBoleto\openAiServicesBoleto.js", "JavaScript", 87, 0, 15, 102
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadordeBoleto\rotinaDeBoleto.js", "JavaScript", 29, 3, 8, 40
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadordeDemonstracao\ServicesOpenAiDemonstracao\agenteDeDemonstracaoPorValor.js", "JavaScript", 73, 1, 18, 92
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadordeDemonstracao\ServicesOpenAiDemonstracao\agenteDeDemonstraçãoDetalhada.js", "JavaScript", 92, 1, 17, 110
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadordeDemonstracao\ServicesOpenAiDemonstracao\identificarModeloEscolhido.js", "JavaScript", 52, 4, 13, 69
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciadordeDemonstracao\rotinaDeDemonstracao.js", "JavaScript", 19, 0, 4, 23
"c:\Users\Administrator\Documents\vertexai\Services\GerenciadorDeRotinas\GerenciamentoDeAgendamento\rotinaDeAgendamento.js", "JavaScript", 14, 0, 2, 16
"c:\Users\Administrator\Documents\vertexai\Services\ServicesKommo\agendarTarefa.js", "JavaScript", 54, 3, 12, 69
"c:\Users\Administrator\Documents\vertexai\Services\ServicesKommo\gerarDatasProximos15Dias.js", "JavaScript", 24, 0, 7, 31
"c:\Users\Administrator\Documents\vertexai\Services\ServicesKommo\pipelineBoleto.js", "JavaScript", 70, 13, 22, 105
"c:\Users\Administrator\Documents\vertexai\Services\ServicesKommo\pipelineConecendoALoja.js", "JavaScript", 45, 11, 14, 70
"c:\Users\Administrator\Documents\vertexai\Services\ServicesKommo\pipelineContatoInicial.js", "JavaScript", 82, 12, 27, 121
"c:\Users\Administrator\Documents\vertexai\Services\ServicesKommo\pipelineContatoInicialAcessorios.js", "JavaScript", 70, 13, 20, 103
"c:\Users\Administrator\Documents\vertexai\Services\ValidacaoDeResposta\CentralDeValidacoes.js", "JavaScript", 53, 22, 20, 95
"c:\Users\Administrator\Documents\vertexai\Services\agenteDeTranscricao.js", "JavaScript", 39, 2, 10, 51
"c:\Users\Administrator\Documents\vertexai\Services\checagemInicial.js", "JavaScript", 120, 0, 36, 156
"c:\Users\Administrator\Documents\vertexai\Services\dbService.js", "JavaScript", 92, 22, 19, 133
"c:\Users\Administrator\Documents\vertexai\Services\messageSender.js", "JavaScript", 28, 3, 5, 36
"c:\Users\Administrator\Documents\vertexai\Services\normalizePhone.js", "JavaScript", 7, 1, 2, 10
"c:\Users\Administrator\Documents\vertexai\Services\openAiService.js", "JavaScript", 44, 9, 14, 67
"c:\Users\Administrator\Documents\vertexai\Services\redisService.js", "JavaScript", 167, 45, 42, 254
"c:\Users\Administrator\Documents\vertexai\Services\setarReset.js", "JavaScript", 26, 8, 8, 42
"Total", "-", 2521, 208, 560, 3289